p,q,distance,px,py,pz,qx,qy,qz
67601,9932399,1.7380774638,1.163821,-1.294976,-1.234086,2.282368,-0.002171,0.106692
67589,9932411,1.7381234737,1.163762,-1.295004,-1.234091,2.282381,-0.002171,0.106693
67577,9932423,1.7381694887,1.163702,-1.295031,-1.234096,2.282393,-0.002171,0.106694
67523,9932477,1.7383766186,1.163434,-1.295156,-1.234119,2.282450,-0.002169,0.106697
67499,9932501,1.7384687092,1.163315,-1.295211,-1.234129,2.282476,-0.002168,0.106699
67433,9932567,1.7387220631,1.162986,-1.295364,-1.234157,2.282546,-0.002166,0.106703
67421,9932579,1.7387681439,1.162926,-1.295391,-1.234162,2.282558,-0.002166,0.106703
67391,9932609,1.7388833681,1.162777,-1.295461,-1.234175,2.282590,-0.002165,0.106705
67271,9932729,1.7393445826,1.162178,-1.295738,-1.234225,2.282717,-0.002161,0.106713
67247,9932753,1.7394368865,1.162058,-1.295793,-1.234235,2.282742,-0.002160,0.106714
67211,9932789,1.7395753805,1.161878,-1.295876,-1.234250,2.282780,-0.002159,0.106716
67139,9932861,1.7398525062,1.161518,-1.296043,-1.234280,2.282857,-0.002157,0.106721
66959,9933041,1.7405461241,1.160615,-1.296459,-1.234353,2.283048,-0.002151,0.106732
66851,9933149,1.7409628472,1.160072,-1.296709,-1.234397,2.283162,-0.002148,0.106738
66749,9933251,1.7413568003,1.159558,-1.296945,-1.234437,2.283271,-0.002145,0.106744
66683,9933317,1.7416119088,1.159225,-1.297098,-1.234463,2.283341,-0.002143,0.106749
66569,9933431,1.7420529174,1.158649,-1.297362,-1.234508,2.283463,-0.002139,0.106756
66533,9933467,1.7421922798,1.158467,-1.297445,-1.234522,2.283501,-0.002138,0.106758
66491,9933509,1.7423549280,1.158254,-1.297543,-1.234538,2.283546,-0.002137,0.106760
66449,9933551,1.7425176394,1.158041,-1.297640,-1.234554,2.283591,-0.002135,0.106763
66383,9933617,1.7427734566,1.157706,-1.297793,-1.234579,2.283661,-0.002133,0.106767
66239,9933761,1.7433321463,1.156974,-1.298127,-1.234634,2.283815,-0.002129,0.106776
66029,9933971,1.7441482410,1.155903,-1.298615,-1.234711,2.284040,-0.002122,0.106789
65951,9934049,1.7444517674,1.155504,-1.298796,-1.234740,2.284124,-0.002120,0.106793
65927,9934073,1.7445452045,1.155382,-1.298852,-1.234748,2.284149,-0.002119,0.106795
65921,9934079,1.7445685670,1.155351,-1.298866,-1.234751,2.284156,-0.002119,0.106795
65837,9934163,1.7448957793,1.154920,-1.299062,-1.234781,2.284246,-0.002116,0.106800
65729,9934271,1.7453168568,1.154366,-1.299313,-1.234819,2.284362,-0.002113,0.106807
65519,9934481,1.7461368329,1.153285,-1.299802,-1.234892,2.284588,-0.002106,0.106820
65447,9934553,1.7464183376,1.152913,-1.299970,-1.234917,2.284666,-0.002104,0.106824
