p,p2,distance,pos_p_x,pos_p_y,pos_p_z,pos_p2_x,pos_p2_y,pos_p2_z
26261,26263,0.0000210055,-0.494725768437119,0.8418609228570892,-0.947983805554502,-0.4947350898168514,0.8418441874365975,-0.948001762759115
26249,26251,0.0000210200,-0.49467398950036257,0.8419684687351052,-0.9478838984528982,-0.494683319037656,0.8419517266650342,-0.9479018717469304
26111,26113,0.0000211881,-0.4940749838766404,0.8432082186873998,-0.9467279671405971,-0.49408440790433455,0.8431913998102869,-0.9467461268093741
25997,25999,0.0000213286,-0.49357518667367334,0.8442365050296029,-0.9457632684463043,-0.4935846897110536,0.8442196222322887,-0.9457815839669101
25931,25933,0.0000214106,-0.4932837551104041,0.8448335528345899,-0.9452006638828125,-0.4932933042895229,0.8448166328344341,-0.9452190704258663
25847,25849,0.0000215158,-0.49291062198222707,0.8455952693562817,-0.9444802407338779,-0.4929202303155469,0.8455783017972547,-0.9444987639738446
25799,25801,0.0000215763,-0.49269627929090815,0.8460314633028729,-0.9440663528729188,-0.492705921643891,0.8460144684612828,-0.9440849432280499
25601,25603,0.0000218288,-0.4918033819852248,0.8478379358409703,-0.9423418304704629,-0.49181316636373923,0.8478208276361263,-0.9423607010388364
25577,25579,0.0000218597,-0.49169418807586796,0.8480576906944264,-0.9421308951521176,-0.4917039898571498,0.848040568657927,-0.9421498000580059
25469,25471,0.0000219998,-0.49120020788981483,0.8490487101357057,-0.9411765399030352,-0.49121008849265974,0.849031525612053,-0.9411956003383534
25409,25411,0.0000220782,-0.4909239188553874,0.8496007826519292,-0.940642680236961,-0.4909338436110353,0.8495835632392492,-0.9406618277981926
25307,25309,0.0000222127,-0.4904511580691997,0.8505417873095966,-0.9397290605420505,-0.4904611584868892,0.8505245082983274,-0.939748357412937
25301,25303,0.0000222206,-0.4904232275624646,0.8505972381366831,-0.9396750792811095,-0.49043323245465503,0.850579955608301,-0.9396943849821522
25169,25171,0.0000223967,-0.48980532605690347,0.8518199125414095,-0.9384807204249433,-0.48981543006420547,0.8518025523163236,-0.9385002217316042
25031,25033,0.0000225832,-0.48915225586291156,0.8531038297131893,-0.9372180923441429,-0.48916246489052173,0.853086387599879,-0.9372378009269938
24977,24979,0.0000226569,-0.4888947142685895,0.8536078184081807,-0.9367200873489272,-0.48890496478632745,0.8535903440664169,-0.9367398778245477
24917,24919,0.0000227393,-0.48860723125323086,0.8541688572948756,-0.9361641313355985,-0.4886175281348106,0.8541513470206729,-0.9361840133267592
24419,24421,0.0000234420,-0.4861661241060224,0.8588686878677807,-0.931441109570326,-0.48617681682206415,0.8588508742709454,-0.9314617730118774
24371,24373,0.0000235116,-0.4859255407275243,0.8593258050530982,-0.9309754213071488,-0.48593627266406936,0.8593079617329145,-0.9309961621896783
24179,24181,0.0000237934,-0.4849536559638167,0.8611616211193822,-0.929093806213177,-0.4849645467240223,0.8611436580313122,-0.929114860715843
24107,24109,0.0000239005,-0.4845852163026645,0.8618531007410226,-0.9283803346564563,-0.48459616743427486,0.8618350923761695,-0.9284015083804783
23909,23911,0.0000241992,-0.4835606231720462,0.8637633187733077,-0.9263958033863665,-0.4835717426596747,0.8637451848609932,-0.926417309606395
23831,23833,0.0000243185,-0.4831523549581189,0.864519334763584,-0.9256048521848226,-0.48316354172331755,0.8645011509718564,-0.925626491286118
23741,23743,0.0000244574,-0.4826779747004439,0.8653941402791363,-0.9246856945505447,-0.4826892397762665,0.8653758986353318,-0.924707488332461
23687,23689,0.0000245413,-0.48239163522915596,0.8659203040565697,-0.9241308194357053,-0.48240294764610747,0.8659020275468583,-0.9241527067307288
23669,23671,0.0000245694,-0.48229590187846993,0.8660959060485534,-0.923945294384837,-0.4823072301353754,0.8660776178909821,-0.9239672129692509
23627,23629,0.0000246351,-0.4820719640149492,0.8665060611687521,-0.9235112962342994,-0.48208332934821446,0.8664877457823346,-0.9235332880586761
23561,23563,0.0000247390,-0.4817184704146209,0.8671517733701389,-0.9228261555837878,-0.4817298943421463,0.8671334150521848,-0.922848263157928
23537,23539,0.0000247770,-0.4815894428213358,0.8673869371064642,-0.9225760564282419,-0.48160088815691937,0.8673685631334448,-0.9225982062939724
23369,23371,0.0000250453,-0.4806789479796171,0.8690384751264895,-0.9208109366382207,-0.48069054469929784,0.8690199909123187,-0.920833385580241
23291,23293,0.0000251715,-0.4802518324912839,0.869808484557029,-0.9199827515763379,-0.4802635004169638,0.8697899487665017,-0.9200053412041524
23201,23203,0.0000253184,-0.4797555090634252,0.8706995136649895,-0.9190202421007282,-0.4797672598869522,0.8706809180507581,-0.9190429955228482
23057,23059,0.0000255564,-0.4789535080465121,0.8721308919260808,-0.9174646492700607,-0.4789653931740233,0.8721121998914144,-0.9174876680763162
23039,23041,0.0000255864,-0.47885256944526133,0.8723103126047006,-0.9172688396995148,-0.4788644715068287,0.8722916084562611,-0.9172918919690168
